"serviceName","displayName","type","state"
"AnyDeskMSI","AnyDesk MSI Service","WIN32_OWN_PROCESS","RUNNING"
"Appinfo","Application Information","WIN32","RUNNING"
"AppXSvc","AppX Deployment Service (AppXSVC)","WIN32","RUNNING"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","WIN32","RUNNING"
"Audiosrv","Windows Audio","WIN32_OWN_PROCESS","RUNNING"
"BDESVC","BitLocker Drive Encryption Service","WIN32","RUNNING"
"BFE","Base Filtering Engine","WIN32_SHARE_PROCESS","RUNNING"
"BITS","Background Intelligent Transfer Service","WIN32","RUNNING"
"BrokerInfrastructure","Background Tasks Infrastructure Service","WIN32_SHARE_PROCESS","RUNNING"
"BTAGService","Bluetooth Audio Gateway Service","WIN32","RUNNING"
"BthAvctpSvc","AVCTP service","WIN32","RUNNING"
"bthserv","Bluetooth Support Service","WIN32","RUNNING"
"camsvc","Capability Access Manager Service","WIN32","RUNNING"
"CDPSvc","Connected Devices Platform Service","WIN32","RUNNING"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","WIN32_OWN_PROCESS","RUNNING"
"com.docker.service","Docker Desktop Service","WIN32_OWN_PROCESS","RUNNING"
"CoreMessagingRegistrar","CoreMessaging","WIN32_SHARE_PROCESS","RUNNING"
"cplspcon","Intel(R) Content Protection HDCP Service","WIN32_OWN_PROCESS","RUNNING"
"CryptSvc","Cryptographic Services","WIN32_OWN_PROCESS","RUNNING"
"DcomLaunch","DCOM Server Process Launcher","WIN32_SHARE_PROCESS","RUNNING"
"DeviceAssociationService","Device Association Service","WIN32","RUNNING"
"Dhcp","DHCP Client","WIN32","RUNNING"
"DiagTrack","Connected User Experiences and Telemetry","WIN32_OWN_PROCESS","RUNNING"
"DispBrokerDesktopSvc","Display Policy Service","WIN32","RUNNING"
"DisplayEnhancementService","Display Enhancement Service","WIN32","RUNNING"
"Dnscache","DNS Client","WIN32_OWN_PROCESS","RUNNING"
"DolbyDAXAPI","Dolby DAX API Service","WIN32_OWN_PROCESS","RUNNING"
"DoSvc","Delivery Optimization","WIN32","RUNNING"
"DPS","Diagnostic Policy Service","WIN32","RUNNING"
"DsSvc","Data Sharing Service","WIN32","RUNNING"
"DusmSvc","Data Usage","WIN32_OWN_PROCESS","RUNNING"
"EFS","Encrypting File System (EFS)","WIN32_SHARE_PROCESS","RUNNING"
"esifsvc","Intel(R) Dynamic Tuning service","WIN32_OWN_PROCESS","RUNNING"
"EventLog","Windows Event Log","WIN32","RUNNING"
"EventSystem","COM+ Event System","WIN32","RUNNING"
"FMAPOService","Fortemedia APO Control Service","WIN32_OWN_PROCESS","RUNNING"
"FontCache","Windows Font Cache Service","WIN32","RUNNING"
"hns","Host Network Service","WIN32","RUNNING"
"HvHost","HV Host Service","WIN32","RUNNING"
"igccservice","Intel(R) Graphics Command Center Service","WIN32_OWN_PROCESS","RUNNING"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","WIN32_OWN_PROCESS","RUNNING"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","WIN32","RUNNING"
"ImControllerService","System Interface Foundation Service","WIN32_OWN_PROCESS","RUNNING"
"InstallService","Microsoft Store Install Service","WIN32_OWN_PROCESS","RUNNING"
"IntelAudioService","Intel(R) Audio Service","WIN32_OWN_PROCESS","RUNNING"
"iphlpsvc","IP Helper","WIN32","RUNNING"
"Jenkins","Jenkins","WIN32_OWN_PROCESS","RUNNING"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","WIN32_OWN_PROCESS","RUNNING"
"KeyIso","CNG Key Isolation","WIN32_SHARE_PROCESS","RUNNING"
"LanmanServer","Server","WIN32","RUNNING"
"LanmanWorkstation","Workstation","WIN32","RUNNING"
"LenovoFnAndFunctionKeys","Lenovo Fn and function keys service","WIN32_OWN_PROCESS","RUNNING"
"LenovoVantageService","LenovoVantageService","WIN32_OWN_PROCESS  (interactive)","RUNNING"
"lfsvc","Geolocation Service","WIN32","RUNNING"
"LicenseManager","Windows License Manager Service","WIN32","RUNNING"
"LITSSVC","Lenovo Notebook ITS Service","WIN32_OWN_PROCESS","RUNNING"
"lmhosts","TCP/IP NetBIOS Helper","WIN32","RUNNING"
"LMS","Intel(R) Management and Security Application Local Management Service","WIN32_OWN_PROCESS","RUNNING"
"LSM","Local Session Manager","WIN32","RUNNING"
"LxssManager","LxssManager","WIN32","RUNNING"
"McAfee WebAdvisor","McAfee WebAdvisor","WIN32_OWN_PROCESS","RUNNING"
"McAPExe","McAfee AP Service","WIN32_OWN_PROCESS","RUNNING"
"mccspsvc","McAfee CSP Service","WIN32_OWN_PROCESS","RUNNING"
"mfemms","McAfee Service Controller","WIN32_SHARE_PROCESS","RUNNING"
"mfevtp","McAfee Validation Trust Protection Service","WIN32_SHARE_PROCESS","RUNNING"
"ModuleCoreService","McAfee Module Core Service","WIN32_SHARE_PROCESS","RUNNING"
"MongoDB","MongoDB Server (MongoDB)","WIN32_OWN_PROCESS","RUNNING"
"mpssvc","Windows Defender Firewall","WIN32_SHARE_PROCESS","RUNNING"
"MySQL80","MySQL80","WIN32_OWN_PROCESS","RUNNING"
"NcbService","Network Connection Broker","WIN32","RUNNING"
"Netman","Network Connections","WIN32","RUNNING"
"netprofm","Network List Service","WIN32","RUNNING"
"NgcCtnrSvc","Microsoft Passport Container","WIN32","RUNNING"
"NgcSvc","Microsoft Passport","WIN32","RUNNING"
"nsi","Network Store Interface Service","WIN32","RUNNING"
"nvagent","Network Virtualization Service","WIN32","RUNNING"
"PcaSvc","Program Compatibility Assistant Service","WIN32","RUNNING"
"PEFService","McAfee PEF Service","WIN32_OWN_PROCESS","RUNNING"
"PhoneSvc","Phone Service","WIN32","RUNNING"
"PlugPlay","Plug and Play","WIN32_SHARE_PROCESS","RUNNING"
"PolicyAgent","IPsec Policy Agent","WIN32","RUNNING"
"Power","Power","WIN32_SHARE_PROCESS","RUNNING"
